Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
253.0,0.7,0.4,60.0,426.7760067732759,317.5089590360284,268.0215272552617,8.109545049647888,9.635903587374074,5.07288741930164,0.0416986489041251,1.6217958967187154,0.3750145297579196
258.0,0.2,15.0,0.0,529.1617900882401,0.0457371672145916,529.1160529210254,45.26285599098071,122.81891306820336,72.69040548495424,1.2504312701910931,6.027784500375693,4.646678930701306
298.0,0.8,10.0,60.0,183.0079811175325,4.892898466012081,180.5615318845265,18.89872743287956,28.204538507142345,9.560802422540696,0.0018709577819389,2.8063798985847677,0.6262949420900381
253.0,0.5,10.0,0.0,660.3316437320253,0.2521637894722173,660.0794799425531,27.925189193088432,44.77136169971175,15.232193742111,0.3547805788482061,4.423338918080653,0.9588339795400614
253.0,0.1,0.16,30.0,933.85679698717,727.9575152399398,303.4270959135845,8.314500361365123,11.295807241083928,7.744266728730022,0.4004380329783192,2.485107126915154,0.5574513749092979
258.0,0.6,40.0,60.0,78.74202690514375,2.0875199655225676,77.69826692238244,32.94528319737227,85.03843363261119,49.1804288427986,0.2674634150822081,3.8258731863668856,3.2086931795615063
233.0,0.7,0.63,0.0,1094.2186186429544,492.54976765815394,601.6688509848004,9.653146172279634,13.933105162589513,9.124889047958618,0.5389557303821044,2.9341817878548424,0.6622740696668314
303.0,0.9,0.16,45.0,612.2496555635279,511.43288669303223,250.61199326107356,8.35401800855297,10.166380568836166,6.777454952045952,0.0015421359268407,2.1766144661076217,0.4281167428476227
298.0,0.1,6.31,15.0,716.0361581855306,16.21401437359713,700.374622954251,21.52455827193464,33.75898674507253,12.676820232993524,0.0135311189051171,3.8085997695925657,0.8519524696109799
268.0,0.9,15.0,30.0,402.4551424119488,8.115176470419646,395.4271934323717,42.2103371304042,112.34698393356348,65.37318832807792,0.0714039618165701,5.550156517656575,4.358965616147659
268.0,0.4,50.0,0.0,200.9457645258032,0.0183739125972989,200.92739061320592,65.90917331720416,177.96919686725718,98.8230104533214,0.4034559118077657,6.68843585878682,4.705493056070545
303.0,0.4,50.0,15.0,174.1277843873868,1.950443522703909,172.2438006160889,63.96804795721759,167.0274937267042,89.26323649963662,0.0142895853378415,6.43178334741845,4.326532831967826
238.0,0.2,2.51,0.0,1008.436486816698,88.26968971406376,920.1667971026344,13.481873581846123,20.279548324880302,10.05390731420588,0.7587712872613375,3.1957192619076547,0.7424563724415022
303.0,0.2,40.0,45.0,129.56352384094907,3.3547738568274976,127.19134049743896,45.70687906904577,118.7719921971608,65.58424283830689,0.0206428276527738,5.095189876924521,3.806519194816421
258.0,0.1,0.0,30.0,926.936045761351,846.2326248822986,194.07709510209293,7.836772364900147,10.485983823010333,7.457435327632528,0.3703569902173093,2.4288573548780237,0.554868763537627
303.0,0.2,6.31,30.0,573.0813790180703,15.45398682651686,559.6978338365566,20.98658918808859,32.91258541038468,11.85959169655544,0.003243941965326,3.619850594470897,0.8140280823201125
248.0,0.5,10.0,15.0,627.0148442809492,8.163885916806217,619.1291360310285,27.565622687570844,44.169592503304514,14.948007138442955,0.4880942296881937,4.321931366084149,0.9517791400270682
293.0,0.1,0.63,15.0,978.7725987215672,491.2655660471463,504.24650091011034,9.602849457755696,13.588632462288263,8.80814547185674,0.010613581569794,2.7935523486855898,0.6177925793695803
